sample,x,y
A,5.3189,-2.61994
A,2.61267,-1.53608
A,4.94566,-2.18873
A,1.09617,-1.94791
A,-1.37277,-4.51197
A,2.9849,-4.52227
A,-5.53912,2.79712
A,7.09201,-1.23851
A,7.0223,0.73907
A,4.1484,-3.7401
A,4.96865,-2.80874
A,2.76217,-4.50507
A,4.80106,-3.29646
A,1.33487,-2.02881
A,-4.48609,-0.2548
A,4.6031,-3.50051
A,-2.20863,-5.30762
A,-1.41661,5.44985
A,4.6429,-3.47051
A,7.14048,3.93097
A,1.80822,-2.89379
A,0.60162,-4.16972
A,-1.89914,-3.9256
A,2.92472,-2.09548
A,3.66704,-1.70329
A,-2.54997,5.34911
A,4.05723,-2.83097
A,6.73176,-1.16753
A,3.20114,-4.44447
A,3.3407,-1.67168
A,-6.39933,1.11948
A,-6.76396,-0.44675
A,-1.65735,5.3491
A,-0.1967,-3.86491
A,2.64176,-4.30913
A,-3.8862,-1.07095
A,6.93719,-0.41374
A,1.18679,-5.39585
A,5.90228,-2.04354
A,4.2365,-3.89137
A,-6.12449,-0.2277
A,-1.06503,3.48823
A,3.31169,-2.14572
A,-3.52138,5.06478
A,0.6075,-3.26168
A,7.4347,-0.59769
A,1.70103,-4.94203
A,-2.36056,-0.39775
A,-6.75134,0.46562
A,-2.96535,2.09565
A,3.10989,-3.7037
A,-0.61073,5.72114
A,-3.49312,-2.87131
A,1.64782,-3.90073
A,4.03586,-2.50481
A,-0.72542,-1.65895
A,0.10058,-4.35144
A,4.83773,-3.2337
A,5.0788,-2.87082
A,3.73512,4.16768
A,7.68082,-0.73719
A,-0.79762,-4.80781
A,2.7472,-2.55283
A,7.48942,-1.10662
A,2.22038,-4.17551
A,2.82615,-2.88345
A,3.25848,-2.09674
A,-1.01319,6.19484
A,-1.58336,5.91451
A,-2.21245,-2.39166
A,-3.06648,2.3561
A,5.35368,-0.91957
A,-1.64234,1.82734
A,7.44282,0.39793
A,-6.43835,-1.22001
A,-0.19266,-6.58326
A,1.5994,-6.13118
A,2.93986,-4.05066
A,0.73778,-3.10452
A,1.81851,-1.08158
A,-3.33631,-0.89446
A,3.12952,-4.97455
A,1.8485,-4.13948
A,5.65686,1.29859
A,2.80011,-3.22185
A,3.75946,-4.01262
A,2.40397,-3.87159
A,6.73144,-1.44106
A,2.24508,-4.82559
A,-4.71177,-1.42644
A,5.25978,-2.41292
A,-1.97273,-0.12035
A,-1.9544,1.53136
A,5.12202,-2.38081
A,-0.84041,-0.761
A,1.36958,-5.54485
A,-1.13151,4.72451
A,3.27593,-4.44905
A,0.71578,-4.50895
A,-0.59987,-4.49136
A,-3.44352,-2.41269
A,2.11002,-3.65176
A,1.72041,-4.98729
A,2.12424,-1.92226
A,3.29281,-3.48071
A,3.66884,-4.28651
A,-7.50511,-0.10738
A,1.75089,-2.76746
A,-1.67268,5.16874
A,3.54058,-4.08069
A,3.90706,-3.3546
A,-1.31719,3.81626
A,-4.28811,0.67486
A,-2.18847,3.53402
A,5.10429,-2.27343
A,-1.88453,0.82923
A,-3.06665,3.9324
A,-1.50389,5.73278
A,4.2563,-3.43432
A,4.98311,-1.52993
A,-1.96952,-2.68051
A,-6.10744,-0.18779
A,6.81964,-1.3097
A,-2.75066,0.71568
A,1.87724,-4.80585
A,1.05149,-8.07313
A,2.56508,-3.85767
A,-1.68757,-0.88376999999999994
A,-1.12763,-1.89186
A,7.77908,3.17841
A,-0.17075,5.65147
A,-2.32515,-4.13778
A,1.55145,-3.56364
A,3.20534,-4.40767
A,-3.10371,1.47754
A,2.24009,-3.92349
A,-6.17674,0.19728
A,0.07691,-5.22721
A,-1.23556,-5.39087
A,-3.27451,2.75982
A,2.46275,-3.88314
A,-6.30356,-0.75508
A,-2.24545,2.74072
A,2.40401,-4.73276
A,-2.77679,-3.33448
A,1.40557,-3.37207
A,7.26417,-0.32544
A,3.32195,-0.23996
A,3.81697,-3.09945
A,5.22573,0.47907
A,1.89248,-4.65069
A,-5.47711,-0.59515
A,-5.51384,-0.87456
A,5.52603,-1.60601
A,-4.29174,-0.22417
A,3.4389,-1.3491
A,3.70473,-1.27275
A,6.32045,-0.4421
A,-2.20765,0.50403
A,-1.80147,4.96683
A,-1.47474,-1.83883
A,-1.47848,-4.5709
A,-2.18724,-1.74234
A,-3.10733,-0.56867
A,0.83865,-4.28781
A,3.42407,-2.492
A,-4.81002,-0.88304
A,-2.05184,5.95471
A,-1.7401,0.21491
A,-4.87204,0.65562
A,-4.55156,0.10846
A,3.5752100000000002,-4.80083
A,-6.0004,-0.2166
A,2.57411,-3.81081
A,-2.68168,3.53736
A,1.92395,-2.0819
A,-1.98472,-4.5655
A,-4.71008,0.39062
A,7.35019,-1.20749
A,-0.85597,-0.55963
A,1.74062,-4.75939
A,-3.15481,2.57451
A,-3.99446,0.36486
A,0.4092,5.72814
A,-3.31696,1.89164
A,-1.7671,4.34261
A,-2.70589,4.98975
A,2.60062,-1.18984
A,2.48155,-2.6918
A,-1.41281,1.28697
A,3.6475,-1.69328
A,1.7209700000000001,-1.71051
A,2.25468,-2.87757
A,-0.9061,5.84993
A,-0.65943,-5.20881
A,1.98114,-3.8479
A,6.04625,-2.10622
A,-0.91872,-5.0868
A,3.05506,-3.96279
A,-5.4412,-1.22194
A,2.57759,-3.93412
A,-0.33326,-2.76398
A,4.72793,-3.38621
A,-1.14993,1.87828
A,-1.45512,5.81872
A,-2.5979,0.43784
A,-4.17407,-0.02968
A,-0.43959,-1.64744
A,-2.97613,5.42013
A,0.98261,-1.71647
A,-0.80127,5.26787
A,-4.40103,2.22449
A,3.05355,-4.34182
A,6.13417,-1.59794
A,-4.15282,0.69768
A,-2.79737,-0.47396
A,0.97134,-5.06458
A,2.63846,-3.7755
A,2.74074,-4.03929
A,-2.39238,5.5332
A,1.94962,-4.52563
A,5.46706,-1.7719800000000001
A,2.21524,-3.92105
A,-5.82623,-1.55727
A,-2.65331,-0.31595
A,-3.38395,-0.01745
A,5.54786,-1.44097
A,4.53956,-1.50284
A,7.1647,1.38081
A,-5.33225,3.37678
A,-4.03296,-2.22251
A,3.52274,-1.64632
A,2.6552,-4.154
A,7.70058,-0.73592
A,1.57664,-6.35479
A,5.54483,-2.21744
A,2.16488,-2.71045
A,0.56245,1.94015
A,4.30673,2.43769
A,-1.71269,5.86247
A,3.44209,-4.39145
A,7.20783,-1.29172
A,-2.23856,2.03644
A,7.78494,3.23741
A,2.34002,-3.83963
A,7.5199,-1.02549
A,-3.98209,4.36816
A,2.94684,-4.11263
A,-0.31285,-5.9466
A,2.25665,-3.25979
A,1.12091,-4.25875
A,-0.48763,1.21733
A,-0.92801,5.7769
A,-3.5366,3.35396
A,0.53672,0.02178
A,-2.10016,-5.09809
A,5.28214,-1.91281
A,2.6755,-2.59135
A,7.31354,0.17241
A,-0.92748,1.70981
A,1.21148,-3.07242
A,4.38846,-3.2468
A,-3.18795,2.93256
A,-1.64098,2.8541
A,6.97677,-0.58056
A,0.39811,-0.8582
A,-5.5611,-0.08619
A,2.68714,1.91919
A,-2.67764,4.56847
A,-5.72946,-0.2317
A,-6.12471,-0.25337
A,2.14679,-2.43963
A,-7.30424,1.70225
A,2.32614,-2.75696
A,1.19247,-4.90549
A,2.76966,-2.55117
A,7.21276,-0.81366
A,4.67943,-2.2787
A,6.92343,-0.97914
A,2.68291,-3.26452
A,-6.41177,-0.99544
A,-1.54345,3.82852
A,7.28809,0.84437
A,1.63471,1.01625
A,-5.68868,-1.69928
A,-6.39119,-0.89566
A,-1.28596,4.3835
A,2.27856,-4.1949
A,3.60266,-4.1219
A,-1.96436,-5.53492
A,-1.96586,-2.1793
A,2.24711,-4.54508
A,4.64661,-2.62349
A,4.33549,-1.55599
A,1.45232,-2.40225
A,-2.44036,-4.7434
A,-1.35422,2.79798
A,-0.62478,-0.63726
A,0.48489,-3.73368
A,-1.04204,-2.1015
A,-5.45347,-0.07917
A,6.95686,-0.23693
A,0.28338,0.90842
A,3.30715,-2.09416
A,0.18142,1.51939
A,7.29765,0.27508
A,1.43534,-3.05548
A,7.20063,1.48637
A,-1.20544,-0.05047
A,-0.17851,-5.33336
A,-4.5104,-3.5418
A,0.56818,-3.12497
A,2.43891,-3.7685
A,-4.60029,0.20147
A,7.78199,-0.27321
A,-2.91233,3.65848
A,-2.08291,5.93809
A,1.63637,-4.06372
A,6.19062,-0.54723
A,-5.33677,-2.3315
A,-4.07894,-0.6398
A,-1.84799,2.9891
A,2.69207,-2.50827
A,-3.95661,1.47291
A,-0.50205,-5.93486
A,-4.45451,0.04368
A,-1.42337,0.87322
A,-4.64007,0.88696
A,-1.89559,-0.16338
A,1.16892,-2.24847
A,-5.00428,-0.33877
A,-2.15439,-5.3277
A,4.11253,-3.67802
A,6.99988,-0.10034
A,-3.79708,1.23052
A,-5.13581,-0.168
A,2.12877,-3.90123
A,2.85794,-2.42446
A,0.35217,3.28105
A,1.75784,-1.22511
A,1.39405,-1.95645
A,-1.22512,-1.90531
A,1.79624,-0.47784
A,-2.07934,4.9295
A,-4.09696,-0.16873
A,2.61359,-4.05508
A,7.67325,-0.37052
A,7.31248,-0.08698
A,1.92452,-6.84545
A,7.09989,0.73605
A,3.49091,-4.59452
A,2.38422,-3.3395
A,-2.29675,1.9382
A,1.79181,-5.09356
A,7.11349,1.27132
A,3.27904,-4.9279
A,-2.12733,3.34124
A,1.54166,-4.7263
A,6.63541,0.74671
A,1.09115,-0.08167
A,-2.33522,3.06845
A,7.55444,-0.95322
A,7.52201,-0.53685
A,-1.43083,-3.71822
A,1.65889,-2.42068
A,1.76875,-0.92273
A,2.62122,-2.1126
A,0.10734,-3.79719
A,6.83567,-1.50385
A,5.41228,-2.45034
A,1.01178,-5.87097
A,2.8209,-2.22353
A,3.63552,0.42322
A,0.34313,-2.69471
A,0.88718,5.81473
A,1.9935,-3.62443
A,0.10542,0.90523
A,-3.14977,4.42473
A,1.95609,-1.9469
A,-0.99034,3.38368
A,-1.67285,-1.89947
A,1.80592,-4.58296
A,-5.26759,3.18506
A,-5.9152,-0.99513
A,-3.10399,0.1941
A,3.6573,-4.38096
A,3.04289,-2.33587
A,3.77796,-4.55685
A,2.21409,-1.80552
A,-4.58891,1.81279
A,3.31494,-1.76198
A,5.24001,-2.74237
A,7.30192,-1.14397
A,-4.5325,-2.1588
A,2.26945,-3.54777
A,-2.70189,2.6236
A,-0.92323,-5.5129
A,1.6952,-6.48047
A,2.52791,-1.5249
A,3.13641,-1.72284
A,-2.45439,5.41813
A,-1.06424,-4.24372
A,2.33558,-3.84921
A,4.94973,-2.53456
A,1.5811,-4.19488
A,-1.62189,4.90637
A,4.41206,-2.6124
A,0.87931,-3.84045
A,2.65984,-6.72681
A,7.69003,3.25781
A,2.7373,-3.3475799999999998
A,-4.04455,0.45206
A,2.45233,-2.62308
A,0.39848,0.31407
A,3.02639,-3.6163
A,-6.1324,-0.35875
A,-3.30283,3.83469
A,3.74835,-4.35599
A,-4.56699,0.38332
A,7.66866,-0.61479
A,7.40418,-0.59561
A,5.24676,-2.61239
A,1.81442,-4.81414
A,6.78007,-1.54285
A,2.77712,-2.39158
A,-3.35291,0.89733
A,1.24827,0.20357
A,4.21702,-3.97533
A,1.30074,-4.11363
A,2.9881,-2.40083
A,-5.27342,-2.27945
A,0.23872,-2.28759
A,-6.73758,0.671
A,-3.86549,-0.53944
A,3.439,-3.7926
A,-0.23224,-1.98561
A,-5.55077,-1.01339
A,0.80648,-4.63126
A,-2.76935,-4.33991
A,-1.90544,5.4939
A,1.27353,-2.57136
A,-6.9889,1.95579
A,1.87395,-3.80776
A,-4.8936,-0.15882
A,2.82496,-0.67829
A,-2.49648,3.89841
A,-4.82245,0.39826
A,3.28464,-1.80883
A,6.48792,-0.88603
A,0.86571,-1.74737
A,-3.43685,1.35931
A,-1.30084,-3.85039
A,-1.62047,-3.16555
A,7.16535,-1.1625
A,4.1486,-3.96128
A,-2.67304,-3.39727
A,1.48297,-4.03943
A,7.45363,3.47129
A,4.02858,-3.70022
A,2.12324,-5.11695
A,-7.63067,0.79225
A,-4.94307,-1.1466
A,-5.83392,2.58607
A,7.53889,-0.74282
A,0.64067,-1.48644
A,5.33093,-1.4278
A,1.48621,-2.82977
A,3.14765,-4.30137
A,-5.53983,-1.42497
A,-4.90089,0.25617
A,1.25656,-2.09099
A,4.52578,0.38245
A,2.2889,-3.98257
A,6.7286,-1.34754
A,-4.9928,0.59771
A,6.10459,-1.6402
A,-5.46813,-1.37617
A,1.01161,-2.77225
A,-3.91373,1.19488
A,0.38315,3.26645
A,5.14279,-2.34424
A,2.2511,-4.53596
A,1.04619,-3.18744
A,-4.54087,0.7978
A,-1.60072,4.58239
A,-0.19779,-6.08882
A,-0.189,-6.6489
A,1.15911,-5.59599
A,1.01933,-1.29142
A,-1.51652,4.57327
A,2.16479,-3.79098
A,-5.90727,-0.66367
A,-4.71815,0.16867
A,2.38914,-3.93538
A,-1.41801,-3.4741
A,0.05211,1.31734
A,7.62445,3.33977
A,-1.90067,1.07676
A,2.16967,-3.09571
A,4.07372,-1.85283
A,-3.3728,-3.89969
A,3.1145,-3.98104
A,5.22985,-2.28755
A,-0.22034,-3.91798
A,4.52299,-2.9996
A,0.17197,0.82979
A,7.62083,-0.5436
A,-1.28183,6.14674
A,5.36971,-2.71164
A,3.3849,-4.28601
A,-2.18947,-4.55164
A,-2.10836,0.19596
